task_name,category,difficulty,tags,agent_timeout_sec,verifier_timeout_sec,build_timeout_sec,docker_image,visible_environment_files,capability_classes,required_tool_hints,verifier_capability_needs,readiness,notes
cobol-modernization,software-engineering,easy,coding,900.0,900.0,600.0,alexgshaw/cobol-modernization:20251031,6,compiler_build;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
code-from-image,software-engineering,medium,ocr,1200.0,1200.0,600.0,alexgshaw/code-from-image:20251031,2,compiler_build;image_processing;long_running_command;ocr_pdf_document,make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo,artifact_preview;build_log_handles;image_metadata;log_tail_handles;ocr_or_pdf_text_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
compile-compcert,system-administration,medium,compilation;compilers,2400.0,2400.0,600.0,alexgshaw/compile-compcert:20251031,1,compiler_build;long_running_command;ocaml_coq_build,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;ocaml;opam;dune;coqtop;coqc,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
configure-git-webserver,system-administration,hard,system;version-control;web,900.0,900.0,600.0,alexgshaw/configure-git-webserver:20251031,1,background_service;http_service;long_running_command;network_download,curl;wget;ss;netstat;lsof;nginx;bash;make;cmake;gcc;g++;cargo;python;python3;git;pip;uv,http_probe;log_tail_handles;network_fact_probe;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
constraints-scheduling,personal-assistant,medium,calendar;scheduling;constraint-satisfaction;ics-parsing;temporal-reasoning,1200.0,1200.0,600.0,alexgshaw/constraints-scheduling:20251031,4,long_running_command;ml_training_or_inference;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;julia;octave,log_tail_handles;metric_artifact_inspection;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
count-dataset-tokens,model-training,medium,machine-learning;data;datasets;tokenization;huggingface,900.0,900.0,600.0,alexgshaw/count-dataset-tokens:20251031,1,long_running_command;ml_training_or_inference,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript,log_tail_handles;metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
crack-7z-hash,security,medium,decrypt;security;file-operations,900.0,900.0,600.0,alexgshaw/crack-7z-hash:20251031,2,binary_reverse_engineering;crypto_security;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo,artifact_probe;binary_artifact_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
custom-memory-heap-crash,debugging,medium,cpp;memory-management;debugging,1800.0,1800.0,600.0,alexgshaw/custom-memory-heap-crash:20251031,6,compiler_build;long_running_command;scientific_computing,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;R;Rscript;julia;octave,build_log_handles;log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
db-wal-recovery,file-operations,medium,database;encryption;recovery,900.0,900.0,600.0,alexgshaw/db-wal-recovery:20251031,6,database;long_running_command,sqlite3;psql;mysql;bash;make;cmake;gcc;g++;cargo;python;python3,database_file_or_service_probe;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
distribution-search,machine-learning,medium,coding;statistics;machine-learning,3600.0,3600.0,600.0,alexgshaw/distribution-search:20251031,1,long_running_command;ml_training_or_inference;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;julia;octave,log_tail_handles;metric_artifact_inspection;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
dna-assembly,scientific-computing,hard,biology;cloning,1800.0,1800.0,600.0,alexgshaw/dna-assembly:20251031,2,binary_reverse_engineering;compiler_build;long_running_command;scientific_computing,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;R;Rscript;julia;octave,binary_artifact_probe;build_log_handles;log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
dna-insert,scientific-computing,medium,biology;cloning,1800.0,1800.0,600.0,alexgshaw/dna-insert:20251031,2,binary_reverse_engineering;long_running_command;scientific_computing,file;strings;readelf;objdump;gdb;xxd;hexdump;bash;make;cmake;gcc;g++;cargo;python;python3;R;Rscript;julia;octave,binary_artifact_probe;log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
execution-gate-toy,,,,None,None,None,None,1,ml_training_or_inference,python;python3;pip;uv;R;Rscript,metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
extract-elf,file-operations,medium,,900.0,900.0,600.0,alexgshaw/extract-elf:20251031,2,binary_reverse_engineering;compiler_build;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,binary_artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
extract-moves-from-video,file-operations,hard,file-operations;web;video-processing,1800.0,1800.0,600.0,alexgshaw/extract-moves-from-video:20251031,1,http_service;long_running_command;network_download;video_processing,curl;wget;nginx;bash;make;cmake;gcc;g++;cargo;python;python3;git;pip;uv;ffmpeg;ffprobe,http_probe;log_tail_handles;media_metadata;network_fact_probe;port_probe;sample_video_frames;sandboxed_execution,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
feal-differential-cryptanalysis,mathematics,hard,software-engineering,1800.0,1800.0,600.0,alexgshaw/feal-differential-cryptanalysis:20251031,2,compiler_build;crypto_security;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;openssl;python;python3;john;hashcat;bash;cargo,artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
feal-linear-cryptanalysis,mathematics,hard,software-engineering,1800.0,1800.0,600.0,alexgshaw/feal-linear-cryptanalysis:20251031,4,compiler_build;crypto_security;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;openssl;python;python3;john;hashcat;bash;cargo,artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
filter-js-from-html,security,medium,security,1800.0,900.0,600.0,alexgshaw/filter-js-from-html:20251031,1,binary_reverse_engineering;crypto_security;long_running_command;scientific_computing,file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo;R;Rscript;julia;octave,artifact_probe;binary_artifact_probe;log_tail_handles;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
financial-document-processor,data-processing,medium,ocr;image-processing;financial;file-operations,1200.0,1200.0,600.0,alexgshaw/financial-document-processor:20251031,19,image_processing;long_running_command;ocr_pdf_document,python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo,artifact_preview;image_metadata;log_tail_handles;ocr_or_pdf_text_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
fix-code-vulnerability,security,hard,security;code-vulnerability;common-weakness-enumeration,900.0,900.0,600.0,alexgshaw/fix-code-vulnerability:20251031,1,background_service;binary_reverse_engineering;compiler_build;crypto_security;database;http_service;long_running_command;scientific_computing;video_processing,curl;wget;ss;netstat;lsof;file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;openssl;python;python3;john;hashcat;sqlite3;psql;mysql;nginx;bash;cargo;R;Rscript;julia;octave;ffmpeg;ffprobe,artifact_probe;binary_artifact_probe;build_log_handles;database_file_or_service_probe;http_probe;log_tail_handles;media_metadata;numeric_output_check;port_probe;process_probe;sample_video_frames;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
fix-git,software-engineering,easy,coding;version-control,900.0,900.0,600.0,alexgshaw/fix-git:20251031,4,long_running_command,bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
fix-ocaml-gc,software-engineering,hard,troubleshooting,3600.0,3600.0,600.0,alexgshaw/fix-ocaml-gc:20251031,1,binary_reverse_engineering;compiler_build;long_running_command;ocaml_coq_build;qemu_vm;scientific_computing,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;ocaml;opam;dune;coqtop;coqc;qemu-system-i386;qemu-system-x86_64;qemu-img;expect;R;Rscript;julia;octave,background_process_probe;binary_artifact_probe;build_log_handles;interactive_or_vnc_probe;log_tail_handles;numeric_output_check;port_probe;sandboxed_execution,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
gcode-to-text,file-operations,medium,file-operations,900.0,900.0,600.0,alexgshaw/gcode-to-text:20251031,2,long_running_command,bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
git-leak-recovery,software-engineering,medium,git;security,900.0,900.0,600.0,alexgshaw/git-leak-recovery:20251031,2,binary_reverse_engineering;compiler_build;crypto_security;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;openssl;python;python3;john;hashcat;bash;cargo,artifact_probe;binary_artifact_probe;build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
git-multibranch,system-administration,medium,system;version-control;web,900.0,900.0,600.0,alexgshaw/git-multibranch:20251031,2,background_service;binary_reverse_engineering;crypto_security;http_service;long_running_command;ssh_or_telnet_service,curl;wget;ss;netstat;lsof;file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;nginx;bash;make;cmake;gcc;g++;cargo;ssh;sshd;telnet,artifact_probe;binary_artifact_probe;http_probe;interactive_probe;log_tail_handles;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
gpt2-codegolf,software-engineering,hard,,900.0,900.0,600.0,alexgshaw/gpt2-codegolf:20251031,2,compiler_build;long_running_command;ml_training_or_inference;network_download,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git,build_log_handles;log_tail_handles;metric_artifact_inspection;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
headless-terminal,software-engineering,medium,bash;terminal,900.0,900.0,600.0,alexgshaw/headless-terminal:20251031,2,background_service;compiler_build;long_running_command;network_download,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;git;pip;uv,build_log_handles;log_tail_handles;network_fact_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
hf-model-inference,data-science,medium,api;coding;data-processing;data-science,900.0,900.0,600.0,alexgshaw/hf-model-inference:20251031,1,background_service;long_running_command;ml_training_or_inference;network_download,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;git,log_tail_handles;metric_artifact_inspection;network_fact_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
install-windows-3.11,system-administration,hard,virtualization;qemu;windows-3.11;vnc;sys-admin;retro-computing,3600.0,3600.0,600.0,alexgshaw/install-windows-3.11:20251031,9,background_service;http_service;image_processing;long_running_command;qemu_vm,curl;wget;ss;netstat;lsof;nginx;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo;qemu-system-i386;qemu-system-x86_64;qemu-img;expect,artifact_preview;background_process_probe;http_probe;image_metadata;interactive_or_vnc_probe;log_tail_handles;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
kv-store-grpc,software-engineering,medium,coding;file-operations;system,900.0,900.0,600.0,alexgshaw/kv-store-grpc:20251031,1,background_service;compiler_build;long_running_command;network_download,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;git;pip;uv,build_log_handles;log_tail_handles;network_fact_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
large-scale-text-editing,file-operations,medium,text-editing;large-scale-text-manipulation;vim;vim-macros,1200.0,1200.0,600.0,alexgshaw/large-scale-text-editing:20251031,4,long_running_command,bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
largest-eigenval,mathematics,medium,coding;optimization;constraint;numerical-approximation,900.0,900.0,600.0,alexgshaw/largest-eigenval:20251031,3,long_running_command;ml_training_or_inference;network_download;scientific_computing,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git;julia;octave,log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
llm-inference-batching-scheduler,machine-learning,hard,batching;inference;performance-optimization;scheduling,1800.0,1800.0,600.0,alexgshaw/llm-inference-batching-scheduler:20251031,6,background_service;compiler_build;long_running_command;ml_training_or_inference,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;pip;uv;R;Rscript,build_log_handles;log_tail_handles;metric_artifact_inspection;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
log-summary-date-ranges,data-processing,medium,log-analysis;report-generation;data-processing,900.0,900.0,600.0,alexgshaw/log-summary-date-ranges:20251031,2,background_service;long_running_command,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
mailman,system-administration,medium,email-server;mailing-list,1800.0,1800.0,600.0,alexgshaw/mailman:20251031,2,background_service;long_running_command;network_download,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;git;pip;uv,log_tail_handles;network_fact_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
make-doom-for-mips,software-engineering,hard,software-engineering,900.0,900.0,600.0,alexgshaw/make-doom-for-mips:20251031,3,binary_reverse_engineering;compiler_build;long_running_command;qemu_vm;video_processing,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3;qemu-system-i386;qemu-system-x86_64;qemu-img;expect;ffmpeg;ffprobe,background_process_probe;binary_artifact_probe;build_log_handles;interactive_or_vnc_probe;log_tail_handles;media_metadata;port_probe;sample_video_frames;sandboxed_execution,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
make-mips-interpreter,software-engineering,hard,software-engineering,1800.0,1800.0,600.0,alexgshaw/make-mips-interpreter:20251031,2,binary_reverse_engineering;image_processing;long_running_command;qemu_vm;video_processing,file;strings;readelf;objdump;gdb;xxd;hexdump;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;make;cmake;gcc;g++;cargo;qemu-system-i386;qemu-system-x86_64;qemu-img;expect,artifact_preview;background_process_probe;binary_artifact_probe;image_metadata;interactive_or_vnc_probe;log_tail_handles;media_metadata;port_probe;sample_video_frames;sandboxed_execution,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
mcmc-sampling-stan,data-science,hard,R;stan;bayesian-statistics;mcmc,1800.0,1800.0,600.0,alexgshaw/mcmc-sampling-stan:20251031,2,background_service;long_running_command;ml_training_or_inference;network_download;scientific_computing,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;git;julia;octave,log_tail_handles;metric_artifact_inspection;network_fact_probe;numeric_output_check;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
merge-diff-arc-agi-task,debugging,medium,git;coding,900.0,900.0,600.0,alexgshaw/merge-diff-arc-agi-task:20251031,4,long_running_command;network_download,bash;make;cmake;gcc;g++;cargo;python;python3;curl;wget;git;pip;uv,log_tail_handles;network_fact_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
model-extraction-relu-logits,mathematics,hard,security,900.0,900.0,600.0,alexgshaw/model-extraction-relu-logits:20251031,2,background_service;binary_reverse_engineering;crypto_security;long_running_command;ml_training_or_inference,curl;wget;ss;netstat;lsof;file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo;pip;uv;R;Rscript,artifact_probe;binary_artifact_probe;log_tail_handles;metric_artifact_inspection;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
modernize-scientific-stack,scientific-computing,medium,python-migration;scientific-computing;legacy-modernization;climate-science;data-processing,600.0,600.0,600.0,alexgshaw/modernize-scientific-stack:20251031,6,ml_training_or_inference;scientific_computing,python;python3;pip;uv;R;Rscript;julia;octave,metric_artifact_inspection;numeric_output_check;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
mteb-leaderboard,data-science,medium,retrieval;mteb,3600.0,3600.0,600.0,alexgshaw/mteb-leaderboard:20251031,1,long_running_command;ml_training_or_inference,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript,log_tail_handles;metric_artifact_inspection;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
mteb-retrieve,data-science,medium,data-processing;data-science;mteb,1800.0,1800.0,600.0,alexgshaw/mteb-retrieve:20251031,2,long_running_command;ml_training_or_inference;network_download;ocr_pdf_document,bash;make;cmake;gcc;g++;cargo;python;python3;pip;uv;R;Rscript;curl;wget;git;tesseract;pdftotext;convert;magick,artifact_preview;log_tail_handles;metric_artifact_inspection;network_fact_probe;ocr_or_pdf_text_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
multi-source-data-merger,data-processing,medium,data-processing;etl;schema-mapping;conflict-resolution;pandas;parquet,900.0,900.0,600.0,alexgshaw/multi-source-data-merger:20251031,4,background_service;long_running_command,curl;wget;ss;netstat;lsof;bash;make;cmake;gcc;g++;cargo;python;python3,log_tail_handles;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
nginx-request-logging,system-administration,medium,web-server,900.0,900.0,600.0,alexgshaw/nginx-request-logging:20251031,1,background_service;http_service;long_running_command;network_download;ocr_pdf_document,curl;wget;ss;netstat;lsof;nginx;bash;make;cmake;gcc;g++;cargo;python;python3;git;pip;uv;tesseract;pdftotext;convert;magick,artifact_preview;http_probe;log_tail_handles;network_fact_probe;ocr_or_pdf_text_probe;port_probe;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
openssl-selfsigned-cert,security,medium,coding;file-operations;security;system,900.0,900.0,600.0,alexgshaw/openssl-selfsigned-cert:20251031,1,background_service;binary_reverse_engineering;crypto_security;long_running_command,curl;wget;ss;netstat;lsof;file;strings;readelf;objdump;gdb;xxd;hexdump;openssl;python;python3;john;hashcat;bash;make;cmake;gcc;g++;cargo,artifact_probe;binary_artifact_probe;log_tail_handles;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
overfull-hbox,debugging,easy,latex;document-processing;combinatorial-optimization,750.0,360.0,600.0,alexgshaw/overfull-hbox:20251031,5,compiler_build;network_download;ocr_pdf_document,make;cmake;gcc;g++;clang;clang++;pkg-config;curl;wget;git;pip;uv;tesseract;pdftotext;python;python3;convert;magick,artifact_preview;build_log_handles;network_fact_probe;ocr_or_pdf_text_probe;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
password-recovery,security,hard,system;file-operations;troubleshooting,900.0,900.0,600.0,alexgshaw/password-recovery:20251031,2,background_service;compiler_build;long_running_command,curl;wget;ss;netstat;lsof;make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,build_log_handles;log_tail_handles;process_probe;sandboxed_execution;service_log_tail,needs_p2_verifier_or_service_support,generic coverage audit; no solution/tests inspected
path-tracing,software-engineering,hard,images,1800.0,1800.0,600.0,alexgshaw/path-tracing:20251031,2,compiler_build;image_processing;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo,artifact_preview;build_log_handles;image_metadata;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
path-tracing-reverse,software-engineering,hard,images,1800.0,1800.0,600.0,alexgshaw/path-tracing-reverse:20251031,2,binary_reverse_engineering;compiler_build;image_processing;long_running_command,file;strings;readelf;objdump;gdb;xxd;hexdump;make;cmake;gcc;g++;clang;clang++;pkg-config;python;python3;ffmpeg;ffprobe;tesseract;pdftotext;convert;magick;bash;cargo,artifact_preview;binary_artifact_probe;build_log_handles;image_metadata;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
polyglot-c-py,software-engineering,medium,coding,900.0,900.0,600.0,alexgshaw/polyglot-c-py:20251031,1,compiler_build;long_running_command,make;cmake;gcc;g++;clang;clang++;pkg-config;bash;cargo;python;python3,build_log_handles;log_tail_handles;sandboxed_execution,needs_long_command_budget_and_verifier_execution,generic coverage audit; no solution/tests inspected
